         10340073 function calls (10076572 primitive calls) in 130.711 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5000    0.004    0.000    0.007    0.000 //venv/lib/python3.12/site-packages/folium/features.py:885(get_feature_id)
    10017    0.004    0.000    0.007    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:1110(make_globals)
       39    0.001    0.000    0.007    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:455(_process_change)
    70268    0.006    0.000    0.006    0.000 {built-in method builtins.iter}
    45024    0.006    0.000    0.006    0.000 {method 'extend' of 'list' objects}
    50085    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
    45337    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     4899    0.001    0.000    0.006    0.000 {built-in method builtins.all}
    20070    0.004    0.000    0.005    0.000 //venv/lib/python3.12/site-packages/jinja2/nodes.py:76(__init__)
      369    0.004    0.000    0.005    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:1178(remove_stale_sockets)
    88/80    0.000    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextlib.py:141(__exit__)
    10017    0.004    0.000    0.005    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:584(enter_frame)
      899    0.005    0.000    0.005    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.005    0.005 //venv/lib/python3.12/site-packages/folium/folium.py:239(__init__)
     5026    0.002    0.000    0.005    0.000 //venv/lib/python3.12/site-packages/markupsafe/__init__.py:122(__new__)
     4899    0.004    0.000    0.005    0.000 //venv/lib/python3.12/site-packages/folium/features.py:798(<genexpr>)
    10017    0.004    0.000    0.004    0.000 {method 'getvalue' of '_io.StringIO' objects}
    30343    0.004    0.000    0.004    0.000 {method 'values' of 'dict' objects}
      123    0.003    0.000    0.004    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:2017(_process_kill_cursors)
    10017    0.003    0.000    0.004    0.000 //venv/lib/python3.12/site-packages/jinja2/idtracking.py:175(__init__)
     9799    0.004    0.000    0.004    0.000 {built-in method fromtimestamp}
        1    0.000    0.000    0.004    0.004 //venv/lib/python3.12/site-packages/folium/raster_layers.py:91(__init__)
       80    0.002    0.000    0.004    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:1533(checkin)
    10017    0.003    0.000    0.004    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:611(func)
        1    0.000    0.000    0.004    0.004 //venv/lib/python3.12/site-packages/xyzservices/lib.py:254(query_name)
    35032    0.004    0.000    0.004    0.000 {method 'popleft' of 'collections.deque' objects}
     4899    0.002    0.000    0.004    0.000 //venv/lib/python3.12/site-packages/folium/features.py:766(_validate_function)
    20034    0.004    0.000    0.004    0.000 //venv/lib/python3.12/site-packages/jinja2/lexer.py:342(__bool__)
     2726    0.004    0.000    0.004    0.000 {built-in method time.monotonic}
    15017    0.004    0.000    0.004    0.000 {built-in method _functools.reduce}
       39    0.001    0.000    0.004    0.000 //venv/lib/python3.12/site-packages/pymongo/server_description.py:69(__init__)
     1765    0.002    0.000    0.004    0.000 //venv/lib/python3.12/site-packages/pymongo/_csot.py:35(get_timeout)
     4899    0.003    0.000    0.004    0.000 //venv/lib/python3.12/site-packages/folium/features.py:749(convert_to_feature_collection)
     5000    0.002    0.000    0.004    0.000 //venv/lib/python3.12/site-packages/folium/features.py:898(_set_default_key)
    10017    0.003    0.000    0.004    0.000 //venv/lib/python3.12/site-packages/jinja2/nodes.py:614(as_const)
    30024    0.003    0.000    0.003    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:1428(_get_default_module)
    19947    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
    19947    0.003    0.000    0.003    0.000 {built-in method binascii.hexlify}
    20040    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
       39    0.001    0.000    0.003    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:388(updated_topology_description)
    10053    0.002    0.000    0.003    0.000 <frozen _collections_abc>:819(keys)
    10053    0.002    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:1032(__bool__)
    20042    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
      819    0.003    0.000    0.003    0.000 {method 'translate' of 'str' objects}
    10017    0.003    0.000    0.003    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:277(__init__)
    10017    0.003    0.000    0.003    0.000 //venv/lib/python3.12/site-packages/jinja2/idtracking.py:31(__init__)
      123    0.001    0.000    0.003    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:657(data_bearing_servers)
        8    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1529(info)
    11917    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.002    0.002 //venv/lib/python3.12/site-packages/apscheduler/schedulers/base.py:176(start)
    10017    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:999(__init__)
        8    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1660(_log)
      199    0.002    0.000    0.002    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/periodic_executor.py:150(_should_stop)
     4903    0.002    0.000    0.002    0.000 //venv/lib/python3.12/site-packages/folium/utilities.py:395(parse_options)
    10017    0.002    0.000    0.002    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:255(__init__)
        6    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:2208(info)
       85    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextlib.py:299(helper)
        1    0.000    0.000    0.002    0.002 //venv/lib/python3.12/site-packages/apscheduler/schedulers/base.py:963(_create_default_executor)
        1    0.000    0.000    0.002    0.002 //venv/lib/python3.12/site-packages/apscheduler/executors/pool.py:47(__init__)
        8    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1686(handle)
        8    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1746(callHandlers)
        1    0.000    0.000    0.002    0.002 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/concurrent/futures/__init__.py:40(__getattr__)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
        8    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1011(handle)
     1588    0.002    0.000    0.002    0.000 {method 'fileno' of '_socket.socket' objects}
    24969    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
        8    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1266(emit)
        8    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1148(emit)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       40    0.001    0.000    0.002    0.000 //venv/lib/python3.12/site-packages/pymongo/message.py:390(_op_msg)
